Boat Name,Type,Weight Class,Spread,Span,Brand,Year,Serial,Make,,
Trinity,8+,150,85,,Vespoli,2017,V51H293I717,early VHP51,,
Atlantis,8+,165,85,,Vespoli,2021,V53K010A121,VHP53,,
Olympia,8+,165,84,,Vespoli,2022,V53K112E22,VHP53,,5/20/24
Valhalla,8+,180,84,,Vespoli,2022,V55K133F22,VHP55,,
Jobe,8+,185,84.5,,Vespoli,2007,VUALF456L707,EM,,
Martin,8+,190,84.5,,Resolute,2014,RZUMX80241414,Intrepid,,
Skippy,8+,210,84,,Vespoli,2016,V57LJ194H616,"VHP57, early",,
Liz Barhydt,8+,210,84,,Vespoli,2019,V57LK009A919,VHP57,,
Peterson,8+,220,84,,Vespoli,2012,VUAXH100C212,Advantage,,
Megan Getman,8+,220,84.5,,Vespoli,2024,VAD8K261K24,Adv,,
Jim Ruddy,8+,220,85,,Vespoli,2016,VXH075D919,Advantage,,
Alta Pearl,8+,220,84.5,,Vespoli,1997,37VUACB131D898,DL,,
Chris Mabley,4+,220,84.5,,Vespoli,2024,V43K256K24,VHP43,,
New Small 4+,4+,150,85??,,Vespoli,2021,V39+K126E121,VHP39,,
Eaton,4+/4x+,160,85,,Vespoli,2016,UK087D616,ES,"serial # partially incorrect, shows Eaton as one size larger than it actually is",
Sclafani,4+,180,85,,Vespoli,2005,VUAIA250F505,DM,,
Rogoff,4+/4x+,185,85,160,Vespoli,2013,UK158F313,EM,,
Xanadu,4+,180,86,,Vespoli,2021,V41K122E121,VHP41,,
Dehass,4x,165,,160,Vespoli,2003,VUAHB009A303,DS,,
Gardner,4x/-,155,85,160,Sykes,2009,KC 4XWING #4854 Mould #9,n/a,,
Hoffman,4x/-,170,85,159,Swift,2014,RCUSA-RS-092,,,
Richards,4x/-,170,85,158,Swift,2014,RCUSA-RS-093,Swift,7/7/24,
Arcadia,4x/-,175,85,159,Vespoli,2021,V39K172G121,VHP39,,
Sudduth,4x,210,,159?,Vespoli,2006,VUAGA210F606,"DL, larger of 2 sizes. 175-210 lbs",,
Graham,4x/-,220,85,158,Vespoli,2015,V41K166F515,"VHP41, early",,
PK,4x/-,220,85,158,Vespoli,2021,V41K112E121,VHP41,,
Lady Bird,2x/-,140,86,160,Hudson,2007,QVU2S019C707,"Elite (SP?), S2.12",,
Lee Austin,2x (-),145,,160,Swift,2014,RCUSA-RS-122,,,
Suphanna Hongse,2x,165,,160,Hudson,1998,98211,,,check length for size
Zephyr,2x/-,170,86,160,Pocock,2014,GPRDK2SIGI493,Core K2-/x med,need to 2x check which is which lol,
Paulina Guererro,2x/-,170,86,160,Pocock,2015,GPRDK2SIII593,Core K2-/x med,,
Carolyn Gondran,2x (-),180,,160,Swift,2014,RCUSA-RS-121,,,
Peggy Seely,2x/-,180,86,160,Swift,2014,RCUSA-RS-120,,,
Hugh Perry,2-,185,86,,Sykes,2008,Boat #4775 Mould #13,KC2 Wing,,
George John,2x/-,180,86,160,Hudson,2005,QVU2L010C505,Elite (SP?),check length for size,
Peggy Perry,2x/-,180,86,160,Vespoli,2022,V30E155G22,VHP30,,
New Mdwt 2x,2x/-,180,86,160,Vespoli,2024,V30E236J24,VHP30,,
Saltzman,2x (-),190,,160,Hudson,2002,QVU2H291K202,Elite (SP?),check length for size,
Joe Seely,2x/-,225,86,160,Hudson,2009,QVU2H01313909,"SP, S2.42",,
Kourtney de Haas,2x/1,,,,Vespoli,2024,V30E236J24,VHP30,,
Jean Mather,1x,145,,161,Swift,2014,RCUSA-RS-113,,,
Cedar,1x,145,,161,Swift,2014,RCUSA-RS-114,,,
Purple Haze,1x,130,,161,Sykes,2007,Boat #4340 Mould #26,,,
Alice Robinson,1x,145,,161,Vespoli,2018,NE248I818,"E series, MatriX24",,
Nuclear Wessels,1x,165,,161,Sykes,1998,Boat #2338 Mould #19,,,
Hagelslag,1x,165,,161,Filippi,1994,794F22,,,
Pecan,1x,,,,,2014,,,,
Willow,1x,180,,161,Swift,2014,RCUSA-RS-117,?,,
Carrie Graves,1x,180,,161,Hudson,?,RCUSA-RS-118,S1.21,it all got painted over. has older split wing rigger,
KP Foy,1x,175,,161,Hudson,,QVU12070E212,S1.21,,
Tammy Foy,1x,175,,161,Hudson,,QVU12126H515,,,
Magnolia,1x,180,,161,Vespoli,2022,V175S142F22,SD175,,
Mesquite,1x,180,,161,Vespoli,2022,V175S145F22,SD175,,
John Derrick,1x,225,,161,Wintech,2004,R14202,?,,
Lil Commander,1x,210,,161,Hudson,2004,QVU1H035C505,S1.42?,has newer solid rigger,measure length for size
Cypress,1x,220,,161,Swift,2014,RCUSA-RS-115,?,,
Kevin Reinis,1x,215,,161,Vespoli,2022,V200E153G22,VHP200,,
Doris Miller,1x,180?,,161,Wintech,2015,RWCM1021F515,?adaptive,,
Zoe Ashton,1x,225?,,161,Mass,?,?,Adaptive,,
Kiwi,1x,225,,161,Maas,,,,,
Coco,1x,225,,161,Maas,,,,,
Scout,1x,225,,161,Maas,,,,,
Thuli,1x,225,,161,Maas,,"Dropped, non-repairable",,,
Lolly,1x,225,,161,Maas,,,,,
Bluebonnet,1x,225,,161,Maas,,,,,
Bouldin Creek,1x,140,,161,Maas,,,,,
Barton Creek,1x,225,,161,Maas,,,,,
Shoal Creek,1x,225,,161,Maas,,,,,
Waller Creek,1x,225,,161,Maas,,,,,
Fluid Design,Blue 1x,,,,FluidDesign,,Added 2024 donation,,,
JIm Parnell's Boat,1x,,,,,2000,2024 Donation,,,